t_s,node,x,y,z
0.000,0,1446.590,890.691,425.558
0.000,1,1714.125,477.051,519.958
0.000,2,212.439,1160.151,388.763
0.000,3,279.723,2033.474,562.993
0.000,4,291.808,1142.746,159.280
0.000,5,1848.452,2007.186,151.492
0.000,6,1233.918,267.224,297.199
0.000,7,2093.439,475.426,344.966
0.000,8,2738.967,0.358,596.738
0.000,9,54.261,1300.350,552.009
0.000,10,1223.710,2032.166,202.757
0.000,11,2101.812,988.634,155.076
0.000,12,302.575,460.582,431.522
0.000,13,276.892,1231.142,147.946
0.000,14,2108.606,511.109,113.198
0.000,15,1569.414,563.492,364.083
0.000,16,2542.363,1315.783,251.467
0.000,17,570.529,1116.693,394.408
0.000,18,1916.824,791.404,331.052
0.000,19,295.878,1539.986,502.155
0.000,20,2515.030,1467.609,342.720
0.000,21,518.286,1562.920,289.067
0.000,22,1539.510,1810.262,364.424
0.000,23,2700.371,876.175,242.417
0.000,24,1458.275,478.244,361.115
0.000,25,2528.773,915.038,366.957
0.000,26,1759.122,2092.150,219.419
0.000,27,2771.007,486.673,434.634
0.000,28,852.312,1883.574,335.512
0.000,29,1461.422,1803.632,538.308
0.000,30,733.529,195.193,235.006
0.000,31,2074.966,1981.770,580.687
0.000,32,1838.867,860.360,148.506
0.000,33,2094.462,1945.229,543.314
0.000,34,2462.300,2064.838,525.873
0.000,35,1564.727,895.488,257.275
0.000,36,1949.617,557.436,558.642
0.000,37,2699.488,1426.324,139.269
0.000,38,2256.893,1544.525,119.558
0.000,39,2248.174,1440.136,592.455
0.000,40,973.106,605.630,505.179
0.000,41,226.143,228.766,122.781
0.000,42,847.663,1174.322,449.025
0.000,43,2485.543,939.984,392.508
0.000,44,2065.858,720.569,596.652
0.000,45,2398.057,2032.259,488.125
0.000,46,2511.325,22.398,271.031
0.000,47,264.013,1873.579,356.123
0.000,48,1653.774,602.286,184.043
0.000,49,843.723,1013.293,540.452
0.000,50,1609.629,2003.933,431.589
0.000,51,2198.306,1789.120,200.133
0.000,52,2732.438,1499.947,430.835
0.000,53,44.800,1630.482,445.718
0.000,54,2675.246,1178.347,447.858
0.000,55,2749.870,196.498,210.796
0.000,56,1488.264,1754.418,205.927
0.000,57,2205.397,891.548,232.356
0.000,58,1004.066,118.504,325.704
0.000,59,1258.700,1179.800,324.215
0.000,60,2462.927,1452.351,111.452
0.000,61,2297.871,10.895,322.132
0.000,62,2116.495,2085.736,307.078
0.000,63,1593.478,1606.696,193.538
0.000,64,334.551,1089.771,578.636
0.000,65,2730.451,856.246,241.479
0.000,66,38.834,34.019,139.064
0.000,67,1001.798,1950.681,157.287
0.000,68,1872.761,1241.523,530.411
0.000,69,2750.521,111.063,294.750
0.000,70,2714.182,1724.847,246.927
0.000,71,500.726,1334.446,234.872
0.000,72,1608.377,284.060,193.401
0.000,73,1007.909,1401.124,543.023
0.000,74,228.098,2015.616,518.414
0.000,75,225.263,1881.976,509.938
0.000,76,2525.492,556.714,510.095
0.000,77,174.313,366.096,155.489
0.000,78,1163.016,1300.227,506.504
0.000,79,1655.972,1965.120,387.194
0.000,80,778.499,1997.438,501.280
0.000,81,1802.509,1651.998,134.738
0.000,82,2016.829,1203.954,384.817
0.000,83,1031.646,388.210,169.732
0.000,84,1759.632,833.802,485.289
0.000,85,2119.386,1699.793,360.612
0.000,86,2637.257,1103.170,505.747
5.000,0,1467.294,765.499,431.321
5.000,1,1814.580,507.540,517.607
5.000,2,309.082,1052.857,388.733
5.000,3,248.990,2053.953,559.671
5.000,4,397.525,1166.695,155.261
5.000,5,1811.440,2080.759,147.095
5.000,6,1138.493,282.095,295.981
5.000,7,2222.138,533.199,351.137
5.000,8,2607.247,3.766,599.815
5.000,9,19.724,1198.720,551.988
5.000,10,1157.062,1930.800,205.037
5.000,11,2003.294,980.551,159.694
5.000,12,256.171,376.904,428.706
5.000,13,258.388,1346.137,152.418
5.000,14,2178.862,468.727,113.127
5.000,15,1640.801,504.871,365.124
5.000,16,2601.940,1246.843,251.037
5.000,17,667.232,1119.119,391.029
5.000,18,1952.762,934.449,335.366
5.000,19,289.355,1466.691,502.422
5.000,20,2579.078,1586.306,344.201
5.000,21,396.866,1520.862,285.865
5.000,22,1420.986,1736.909,368.632
5.000,23,2625.131,822.820,238.492
5.000,24,1332.057,428.680,360.343
5.000,25,2430.888,837.810,369.600
5.000,26,1779.813,1961.210,219.601
5.000,27,2722.019,454.869,439.682
5.000,28,907.691,1828.256,333.415
5.000,29,1551.724,1851.684,545.658
5.000,30,756.946,111.548,237.145
5.000,31,2011.528,2076.847,586.980
5.000,32,1716.162,858.556,145.525
5.000,33,2032.337,2032.771,544.400
5.000,34,2516.809,2028.887,531.410
5.000,35,1590.281,811.643,257.758
5.000,36,1818.249,531.734,563.068
5.000,37,2777.419,1425.804,136.005
5.000,38,2155.408,1530.150,120.547
5.000,39,2174.005,1498.589,595.274
5.000,40,988.809,689.971,501.198
