seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
5,4.0000,0,4,345.2647,-86.9295,0.8970,13,0.3250,0.7143,7,7,6,0,0,7,6,0.1429
5,4.0000,0,5,546.5704,-88.7523,-1.2602,3,0.0750,1.0000,4,8,8,0,0,8,8,0.0000
5,4.0000,0,6,221.0142,-82.8164,0.5009,33,0.8250,0.0000,4,7,5,0,0,7,5,0.2857
5,4.0000,0,9,243.2984,-84.1643,0.5659,24,0.6000,1.0000,8,7,5,0,0,7,5,0.2857
5,4.0000,0,11,513.3895,-87.2112,0.5395,10,0.2500,1.0000,8,2,2,0,0,2,2,0.0000
5,4.0000,0,14,229.7660,-82.7059,0.2755,31,0.7750,0.6667,6,6,3,0,0,6,3,0.5000
5,4.0000,0,15,211.4884,-80.4413,-0.7336,37,0.9250,0.0000,4,4,0,0,0,4,0,1.0000
5,4.0000,0,16,380.9468,-85.5211,-0.4033,12,0.3000,0.8750,8,7,6,0,0,7,6,0.1429
5,4.0000,0,17,566.5364,-87.6581,0.5249,4,0.1000,1.0000,6,4,4,0,0,4,4,0.0000
5,4.0000,0,18,487.3981,-88.0694,0.6390,10,0.2500,1.0000,8,2,2,0,0,2,2,0.0000
5,4.0000,0,20,443.6806,-87.2421,0.2871,13,0.3250,1.0000,8,8,8,0,0,8,8,0.0000
5,4.0000,0,21,356.9555,-86.7566,0.1467,9,0.2250,0.7500,8,7,6,0,0,7,6,0.1429
5,4.0000,0,34,434.5816,-86.9908,-0.1605,21,0.5250,0.8571,7,8,8,0,0,8,8,0.0000
5,4.0000,0,51,95.9325,-73.0494,-0.8312,39,0.9750,0.0000,3,5,1,0,0,5,1,0.8000
5,4.0000,0,55,224.1762,-83.3330,0.8726,28,0.7000,0.5000,6,5,2,0,0,5,2,0.6000
5,4.0000,0,60,414.5691,-88.5660,0.9557,4,0.1000,1.0000,2,6,4,0,0,6,4,0.3333
5,4.0000,0,64,414.6468,-87.0170,0.4364,10,0.2500,0.8571,7,8,8,0,0,8,8,0.0000
5,4.0000,0,66,456.6755,-87.9758,0.5805,8,0.2000,1.0000,4,6,6,0,0,6,6,0.0000
5,4.0000,0,78,348.6084,-86.6775,0.4234,21,0.5250,1.0000,8,7,6,0,0,7,6,0.1429
5,4.0000,0,80,441.6520,-88.7227,0.4115,5,0.1250,1.0000,8,8,7,0,0,8,7,0.1250
5,4.0000,1,3,281.0290,-85.0393,0.3609,25,0.6250,0.6250,8,7,5,0,0,7,5,0.2857
5,4.0000,1,8,398.8245,-85.1439,-1.1290,19,0.4750,0.8571,7,8,8,0,0,8,8,0.0000
5,4.0000,1,22,402.0045,-85.5025,-1.2225,19,0.4750,0.3333,6,8,8,0,0,8,8,0.0000
5,4.0000,1,23,389.2674,-86.0298,0.1504,14,0.3500,0.8571,7,8,8,0,0,8,8,0.0000
5,4.0000,1,24,128.3737,-76.6467,-1.1245,38,0.9500,0.0000,4,4,0,0,0,4,0,1.0000
5,4.0000,1,26,191.1949,-80.6124,-0.9553,34,0.8500,0.0000,3,4,0,0,0,4,0,1.0000
5,4.0000,1,39,268.8904,-84.1264,-0.1140,32,0.8000,0.7143,7,6,3,0,0,6,3,0.5000
5,4.0000,1,47,506.1983,-88.4659,-0.3196,3,0.0750,1.0000,6,8,8,0,0,8,8,0.0000
5,4.0000,1,48,339.4636,-86.2362,0.0986,11,0.2750,0.6667,6,6,4,0,0,6,4,0.3333
5,4.0000,1,49,197.0393,-81.8306,-0.0168,33,0.8250,0.2000,5,6,3,0,0,6,3,0.5000
5,4.0000,1,59,478.7549,-87.1392,0.0365,3,0.0750,1.0000,6,8,8,0,0,8,8,0.0000
5,4.0000,1,62,210.4704,-80.8108,-1.4393,33,0.8250,0.0000,4,5,1,0,0,5,1,0.8000
5,4.0000,1,67,512.4659,-87.9222,0.0339,7,0.1750,1.0000,8,8,7,0,0,8,7,0.1250
5,4.0000,1,71,74.6857,-68.2196,-3.8708,37,0.9250,0.0000,4,4,0,0,0,4,0,1.0000
5,4.0000,1,73,439.1174,-86.2201,-0.0215,13,0.3250,0.5714,7,8,7,0,0,8,7,0.1250
