t_s,node,x,y,z
0.000,0,542.045,462.519,580.824
0.000,1,35.690,512.470,274.599
0.000,2,29.000,1062.093,273.836
0.000,3,1001.490,370.289,569.632
0.000,4,253.350,283.289,429.301
0.000,5,27.136,572.084,475.778
0.000,6,716.709,76.680,143.331
0.000,7,1181.816,143.566,562.529
0.000,8,928.502,787.270,319.168
0.000,9,1175.215,370.529,356.775
0.000,10,105.465,633.755,367.503
0.000,11,1083.549,85.775,588.555
0.000,12,1085.698,493.403,453.830
0.000,13,1119.381,871.742,253.262
0.000,14,292.109,967.077,525.691
0.000,15,569.369,1132.773,282.339
0.000,16,125.466,240.248,171.682
0.000,17,182.496,215.973,499.363
0.000,18,1134.930,522.609,342.986
0.000,19,242.150,353.141,449.158
0.000,20,969.203,912.028,398.446
0.000,21,1077.009,70.763,371.952
0.000,22,358.859,635.573,272.829
0.000,23,1015.148,138.347,521.589
0.000,24,1265.496,962.679,298.106
0.000,25,452.774,624.506,403.713
0.000,26,727.603,727.574,478.494
0.000,27,233.990,68.885,207.943
0.000,28,357.779,614.678,115.442
0.000,29,689.950,795.507,214.926
0.000,30,961.834,73.801,550.977
0.000,31,793.992,433.645,432.169
0.000,32,427.331,192.545,216.552
0.000,33,437.773,487.456,320.978
0.000,34,823.220,119.706,191.510
0.000,35,260.284,102.367,403.626
0.000,36,431.907,1026.647,326.037
0.000,37,548.729,838.641,265.000
0.000,38,1014.965,579.408,482.889
0.000,39,400.525,1093.563,560.950
0.000,40,769.951,72.297,186.596
0.000,41,513.181,637.468,315.484
0.000,42,237.608,671.064,497.039
0.000,43,1026.642,431.999,429.073
0.000,44,344.267,458.307,136.454
0.000,45,56.581,622.722,196.699
0.000,46,316.634,50.531,499.585
0.000,47,904.658,806.979,346.744
0.000,48,974.008,265.067,194.382
0.000,49,879.625,824.870,532.986
5.000,0,627.347,392.512,586.451
5.000,1,103.379,563.678,279.544
5.000,2,46.778,1189.843,269.793
5.000,3,955.890,292.198,570.323
5.000,4,337.434,317.316,426.073
5.000,5,16.798,469.092,473.902
5.000,6,615.940,4.497,139.509
5.000,7,1206.478,66.352,559.029
5.000,8,913.296,687.409,320.242
5.000,9,1097.045,353.307,359.607
