model,bin,lower,upper,n_rows,n_trials,n_successes,mean_prediction,observed_success_rate,calibration_gap
full_raw,0,0.0,0.1,38606,298153,15583,0.07374734372901591,0.052265112207490784,-0.021482231521525126
full_raw,1,0.1,0.2,34693,295231,42547,0.14004174859012392,0.14411426984293654,0.0040725212528126276
full_raw,2,0.2,0.3,13460,109277,31319,0.24459841925520925,0.28660193819376445,0.042003518938555195
full_raw,3,0.3,0.4,8514,63450,24909,0.3459853485874233,0.39257683215130024,0.046591483563876934
full_raw,4,0.4,0.5,6465,43786,21241,0.44745902217744515,0.4851093956972548,0.037650373519809655
full_raw,5,0.5,0.6,5439,34617,19067,0.5480085235737387,0.550798740503221,0.0027902169294822254
full_raw,6,0.6,0.7,4796,29063,17953,0.6486337824484694,0.6177270068471941,-0.030906775601275305
full_raw,7,0.7,0.8,4684,27447,19425,0.7494359899359826,0.7077276205049732,-0.04170836943100942
full_raw,8,0.8,0.9,5126,27157,22359,0.8490934131757366,0.8233236366314394,-0.02576977654429724
full_raw,9,0.9,1.0,6454,31466,28612,0.9535767061877287,0.9092989258246996,-0.044277780363029096
full_clipped,0,0.0,0.1,35639,275575,14226,0.07989266264285952,0.051622970153315795,-0.028269692489543724
full_clipped,1,0.1,0.2,38413,323843,44863,0.13579613877802915,0.13853317811408614,0.0027370393360569845
full_clipped,2,0.2,0.3,13040,107167,31846,0.24552605507462102,0.2971623727453414,0.05163631767072038
full_clipped,3,0.3,0.4,9085,68951,28012,0.34641132106070355,0.4062595176284608,0.05984819656775725
full_clipped,4,0.4,0.5,7839,52721,27686,0.44384338417687813,0.5251417841087992,0.08129839993192106
full_clipped,5,0.5,0.6,11883,68296,44761,0.5583552705156126,0.655397094998243,0.09704182448263032
full_clipped,6,0.6,0.7,7249,38966,30285,0.6446364067010164,0.777216034491608,0.13257962779059163
full_clipped,7,0.7,0.8,5089,24128,21336,0.7181698343666791,0.8842838196286472,0.16611398526196808
full_clipped,8,0.8,0.9,0,0,0,nan,nan,nan
full_clipped,9,0.9,1.0,0,0,0,nan,nan,nan
ar,0,0.0,0.1,43379,355303,23192,0.005878809635719373,0.06527386484212067,0.059395055206401294
ar,1,0.1,0.2,21686,182038,27845,0.13630008899240817,0.15296256825497972,0.016662479262571556
ar,2,0.2,0.3,10972,88481,21758,0.26633283755834586,0.2459059007018456,-0.020426936856500266
ar,3,0.3,0.4,7674,59539,17751,0.3377040326508675,0.29814071448966223,-0.039563318161205285
ar,4,0.4,0.5,3429,27159,9431,0.4286259398357819,0.34725137155270813,-0.08137456828307377
ar,5,0.5,0.6,8006,55828,22864,0.5086161890090994,0.4095435981944544,-0.09907259081464503
ar,6,0.6,0.7,9447,60678,29837,0.6209527950822372,0.4917268202643462,-0.129225974817891
ar,7,0.7,0.8,442,3698,2146,0.7428494591671174,0.5803136830719308,-0.16253577609518666
ar,8,0.8,0.9,7837,45583,27755,0.8024752407695852,0.6088892788978347,-0.19358596187175048
ar,9,0.9,1.0,15365,81340,60436,0.9992704302925989,0.7430046717482174,-0.2562657585443815
